timestamp,open,high,low,close,adjusted close,volume,dividend amount
2026-05-08,52.67,52.79,52.66,52.76,52.76,1076500,0.0
2026-05-01,52.74,52.88,52.64,52.68,52.68,976199,0.2185
2026-04-24,52.7,52.7801,52.61,52.77,52.552,597631,0.0
2026-04-17,52.58,52.68,52.55,52.68,52.4624,964661,0.0
2026-04-10,52.56,52.6,52.45,52.55,52.3329,842010,0.0
2026-04-02,52.62,52.7165,52.48,52.5,52.2831,585949,0.2216
2026-03-27,52.64,52.7,52.58,52.63,52.1922,1136762,0.0
2026-03-20,52.47,52.62,52.39,52.57,52.1327,857846,0.0
2026-03-13,52.41,52.62,52.362,52.51,52.0732,1144365,0.0
2026-03-06,52.72,52.7379,52.39,52.48,52.0435,1837408,0.2002
2026-02-27,52.93,52.98,52.87,52.9,52.2614,799717,0.0
2026-02-20,52.87,52.95,52.87,52.9,52.2614,608324,0.0
2026-02-13,52.84,52.92,52.8378,52.89,52.2515,1291436,0.0
2026-02-06,52.85,52.8881,52.81,52.87,52.2318,1041981,0.2334
2026-01-30,53.04,53.07,52.9831,53.043,52.1723,590913,0.0
2026-01-23,52.84,53.03,52.84,53.003,52.133,3577914,0.0
2026-01-16,52.83,52.89,52.78,52.87,52.0022,1818916,0.0
2026-01-09,52.84,52.8599,52.75,52.83,51.9628,1910739,0.0
2026-01-02,52.78,52.87,52.77,52.84,51.9726,764641,0.2681
2025-12-26,52.97,53.06,52.93,53.02,51.8862,916613,0.0
2025-12-19,52.94,52.95,52.89,52.93,51.7981,813745,0.0
2025-12-12,52.86,52.92,52.855,52.89,51.759,2197335,0.0
2025-12-05,52.78,52.87,52.75,52.8593,51.7289,1227122,0.0
2025-11-28,52.94,53.0299,52.71,52.74,51.6122,843344,0.2279
2025-11-21,52.95,53.02,52.89,52.935,51.5801,1078422,0.0
2025-11-14,52.95,52.9509,52.84,52.925,51.5704,932945,0.0
2025-11-07,52.79,52.92,52.79,52.92,51.5655,1104887,0.2454
2025-10-31,53.03,53.1,53.0,53.035,51.4387,908393,0.0
2025-10-24,52.99,53.02,52.93,53.02,51.4241,1021524,0.0
2025-10-17,52.94,52.9818,52.87,52.94,51.3465,815346,0.0
2025-10-10,52.97,52.97,52.8058,52.9,51.3078,1022700,0.0
2025-10-03,53.15,53.15,52.83,52.87,51.2787,928294,0.2416
2025-09-26,53.02,53.09,53.0,53.09,51.2577,812973,0.0
2025-09-19,52.98,53.01,52.92,53.005,51.1757,775341,0.0
2025-09-12,52.95,52.9568,52.87,52.95,51.1226,800084,0.0
2025-09-05,52.8,52.95,52.8,52.89,51.0646,968355,0.2502
2025-08-29,53.05,53.1,53.02,53.04,50.9683,504898,0.0
2025-08-22,53.0,53.05,52.9,53.05,50.9779,979106,0.0
2025-08-15,52.9,52.99,52.84,52.98,50.9106,1030168,0.0
2025-08-08,52.87,52.92,52.79,52.88,50.8145,1206122,0.0
2025-08-01,52.96,53.1,52.7901,52.82,50.7569,703908,0.2486
2025-07-25,52.92,53.1,52.88,53.1,50.7869,631162,0.0
2025-07-18,52.84,52.9582,52.83,52.92,50.6147,505560,0.0
2025-07-11,52.91,52.94,52.68,52.84,50.5382,741254,0.0
2025-07-03,52.96,53.0234,52.66,52.92,50.6147,759592,0.2431
2025-06-27,52.96,53.02,52.8697,53.02,50.478,855568,0.0
2025-06-20,52.9,52.99,52.75,52.94,50.4018,696929,0.0
2025-06-13,52.8,52.92,52.75,52.9,50.3638,887825,0.0
2025-06-06,52.66,52.86,52.66,52.76,50.2305,1611567,0.2617
2025-05-30,52.98,53.05,52.82,52.97,50.1816,2101496,0.0
2025-05-23,52.71,52.97,52.6716,52.82,50.0395,1847977,0.0
2025-05-16,52.96,52.96,52.7006,52.8588,50.0762,1233971,0.0
2025-05-09,52.58,52.81,52.5601,52.7,49.9258,504226,0.0
2025-05-02,52.45,52.8699,52.45,52.76,49.9826,705528,0.2359
2025-04-25,52.2,52.645,52.06,52.5,49.5143,800109,0.0
2025-04-17,51.91,52.4268,51.91,52.26,49.288,3258605,0.0
2025-04-11,50.66,52.45,50.66,51.86,48.9107,2459754,0.0
2025-04-04,52.9,52.9,50.12,51.16,48.2506,2524038,0.2596
2025-03-28,52.87,52.88,52.72,52.85,49.6009,566492,0.0
2025-03-21,52.87,53.01,52.68,52.68,49.4414,987515,0.0
2025-03-14,52.88,53.02,52.815,52.86,49.6103,1057482,0.0
2025-03-07,52.93,53.0099,52.75,52.9,49.6479,2769092,0.2175
2025-02-28,53.05,53.12,53.05,53.12,49.6502,1365212,0.0
2025-02-21,53.1,53.1,53.025,53.05,49.5848,709779,0.0
2025-02-14,53.03,53.06,52.99,53.04,49.5754,1111990,0.0
